row,dataset,old_var,new_var,text
1,2021_cross,StartDate,SURVEY_start_date,Start Date
2,2021_cross,EndDate,SURVEY_end_date,End Date
3,2021_cross,Status,SURVEY_response_type,Response Type
4,2021_cross,IPAddress,SURVEY_ip_address,IP Address
5,2021_cross,Progress,SURVEY_progress,Progress
6,2021_cross,Duration (in seconds),SURVEY_duration_seconds,Duration (in seconds)
7,2021_cross,Finished,SURVEY_finished,Finished
8,2021_cross,RecordedDate,SURVEY_recorded_date,Recorded Date
9,2021_cross,ResponseId,SURVEY_response_id,Response ID
10,2021_cross,RecipientLastName,SURVEY_last_name,Recipient Last Name
11,2021_cross,RecipientFirstName,SURVEY_first_name,Recipient First Name
12,2021_cross,RecipientEmail,SURVEY_email,Recipient Email
13,2021_cross,ExternalReference,SURVEY_external_data,External Data Reference
14,2021_cross,LocationLatitude,SURVEY_latitude,Location Latitude
15,2021_cross,LocationLongitude,SURVEY_longitude,Location Longitude
16,2021_cross,DistributionChannel,SURVEY_distribution,Distribution Channel
17,2021_cross,UserLanguage,SURVEY_user_language,User Language
18,2021_cross,Q1,ELIGIBLE_consent,Do you acknowledge and agree to the conditions outlined above?
19,2021_cross,Q2,GEO_residence_canada,Do you live in Canada?
20,2021_cross,Q10_1,GEO_province,"Where do you live? Note: If the place you live is not listed, select the city that is nearest to where you live. - Province or Territory"
21,2021_cross,Q10_2,GEO_city,"Where do you live? Note: If the place you live is not listed, select the city that is nearest to where you live. - City"
22,2021_cross,Q4,DEMO_age,How old are you (in years)?
23,2021_cross,Q5,DEMO_gender,"How do you identify, in terms of gender? - Selected Choice"
24,2021_cross,Q5_5_TEXT,DEMO_gender_text,"How do you identify, in terms of gender? - None of the above, I identify as - Text"
25,2021_cross,Q6_1,DEMO_identity_vetrans,Do you belong to any of the following groups? (Check all that apply) - Veterans
26,2021_cross,Q6_2,DEMO_identity_indigenous,"Do you belong to any of the following groups? (Check all that apply) - Indigenous peoples (e.g., First Nations, MÃ©tis, Inuit)"
27,2021_cross,Q6_3,DEMO_identity_lgbtq,"Do you belong to any of the following groups? (Check all that apply) - Sexual or gender minorities (e.g., LGBTQ2+)"
28,2021_cross,Q6_4,DEMO_identity_disability,"Do you belong to any of the following groups? (Check all that apply) - People with chronic health problems or disabilities (e.g., Living with any impairment, including a physical, mental, intellectual, cognitive, learning, communication or sensory impairments”or a functional limitation”whether permanent, temporary or episodic in nature, or evident or not, that, in interaction with a barrier, hinders a persons full and equal participation in society.)"
29,2021_cross,Q6_5,DEMO_identity_bipoc,"Do you belong to any of the following groups? (Check all that apply) - People of colour (e.g., Black, Indigenous, Asian or other racialized minority)"
30,2021_cross,Q6_6,DEMO_identity_pwud,Do you belong to any of the following groups? (Check all that apply) - People who have substance abuse problems
31,2021_cross,Q6_7,DEMO_identity_newcomers,"Do you belong to any of the following groups? (Check all that apply) - Newcomers (e.g., Recent immigrants and refugees, i.e. being in Canada for less than 10 years)"
32,2021_cross,Q6_8,DEMO_identity_homeless,Do you belong to any of the following groups? (Check all that apply) - People who are experiencing homelessness or have in the past
33,2021_cross,Q6_9,DEMO_identity_mental_health,Do you belong to any of the following groups? (Check all that apply) - People with mental health challenges
34,2021_cross,Q6_10,DEMO_identity_none,Do you belong to any of the following groups? (Check all that apply) - None of the above
35,2021_cross,Q7,DEMO_relationship_status,What is your current relationship status?
36,2021_cross,Q12_1,COVID_prevention_distancing,To what extent are you currently following the COVID-19 prevention practices listed below? - Physically distance yourself by 2 metres from others
37,2021_cross,Q12_2,COVID_prevention_masks,To what extent are you currently following the COVID-19 prevention practices listed below? - Wear a mask in public
38,2021_cross,Q12_3,COVID_prevention_hand_washing,To what extent are you currently following the COVID-19 prevention practices listed below? - Wash your hands often
39,2021_cross,Q12_4,COVID_prevention_reduce_people,To what extent are you currently following the COVID-19 prevention practices listed below? - Reduce the number of people you interact with
40,2021_cross,Q12_5,COVID_prevention_avoid_trips,To what extent are you currently following the COVID-19 prevention practices listed below? - Avoid non-essential trips in the community
41,2021_cross,Q12_6,COVID_prevention_household,To what extent are you currently following the COVID-19 prevention practices listed below? - Socialize indoors only with people in your immediate household
42,2021_cross,Q13,COVID_vaccinated,Have you received a COVID-19 Vaccine?
43,2021_cross,Q14,COVID_vaccinated_two_weeks_since_last_dose,Did you receive your last COVID-19 vaccine dose more than 2 weeks ago?
44,2021_cross,Q16,WELLNESS_life_satisfaction,"On a scale of 1 to 10, How do you feel about your life as a whole right now?"
45,2021_cross,Q23_1,WELLNESS_malach_pines_burnout_measure_tired,"When you think about your life overall, how often do you feel the following? - Tired"
